disease,f1,rouge1,rouge2,rougeL
下颌下腺脓肿的西医治疗方法有哪些。,0.4527027027027027,0.4467353902698363,0.2083333284792536,0.4123711291014514
视网膜寄生虫性囊肿的西医治疗方法有哪些。,0.4583333333333333,0.4522968149908227,0.2133891165847938,0.4028268503265117
低碳酸血症的西医治疗方法有哪些。,0.5207100591715976,0.5165165115187259,0.2272727222815297,0.4024023974046118
脑脊液耳漏的西医治疗方法有哪些。,0.4599303135888501,0.4539007042450078,0.1730382243821076,0.3971631155925256
先天性乳头内陷的西医治疗方法有哪些。,0.4837545126353791,0.4779411714730212,0.1601642660477551,0.3602941126494918
胎盘增厚的西医治疗方法有哪些。,0.5152542372881356,0.5103448226099883,0.2165354281316263,0.3999999950237812
腓骨远端交界性骨肿瘤的西医治疗方法有哪些。,0.5149700598802395,0.5106382928890163,0.2203947318596348,0.4559270466884083
直肠狭窄的西医治疗方法有哪些。,0.512987012987013,0.5082508201165464,0.2490118527328189,0.4026402590604406
梗阻性黄疸的西医治疗方法有哪些。,0.5119047619047619,0.5075528651038236,0.2258064467106025,0.4169184240162101
TNM 分期的西医治疗方法有哪些。,0.441717791411043,0.4409937838632769,0.1231766563877602,0.2857142807576868
输尿管狭窄的西医治疗方法有哪些。,0.5417867435158501,0.5380116909071168,0.2528735582297287,0.456140345877877
结核性膀胱自发破裂的西医治疗方法有哪些。,0.5135135135135135,0.5085910603233312,0.2393509077986744,0.3780068678834686
结肠脾曲良性肿瘤的西医治疗方法有哪些。,0.5540540540540541,0.5498281737154733,0.2317073120732534,0.4467353902103188
不全性并指(趾)的西医治疗方法有哪些。,0.5163398692810457,0.5116279020059382,0.2084942035109794,0.4053156096471341
足部骨折脱位的西医治疗方法有哪些。,0.5345911949685536,0.530351432705856,0.1561904712671203,0.4025559055493065
腕舟骨骨折畸形愈合的西医治疗方法有哪些。,0.4583333333333333,0.4531722005147818,0.1658536536190893,0.3927492397897063
扁桃体结石的西医治疗方法有哪些。,0.4810996563573883,0.4755244705254535,0.1810699538518858,0.4335664285674116
肛周皮肤恶性肿瘤的西医治疗方法有哪些。,0.5392491467576792,0.5347222172222224,0.2076923026949705,0.4583333283333333
先天性唾液腺缺失的西医治疗方法有哪些。,0.5106382978723404,0.5061728345130316,0.260073255088355,0.4320987604389575
