disease,f1,rouge1,rouge2,rougeL,bleu4
下颌下腺脓肿的西医治疗方法有哪些。,0.2324455205811137,0.2254901912706652,0.0607999950508036,0.1960784265647829,0.0306782632395928
视网膜寄生虫性囊肿的西医治疗方法有哪些。,0.065359477124183,0.0572687177822201,0.0058910112981749,0.0528634314386078,0.0077028058741578
低碳酸血症的西医治疗方法有哪些。,0.2663656884875847,0.260869560539983,0.0633484114400245,0.1830663568786558,0.0178163902464943
脑脊液耳漏的西医治疗方法有哪些。,0.0309597523219814,0.0188679195409609,0.0,0.0188679195409609,0.0093250830154324
先天性乳头内陷的西医治疗方法有哪些。,0.1542553191489361,0.1505376297278588,0.0216216167081254,0.1182795652117298,0.0062744122068036
胎盘增厚的西医治疗方法有哪些。,0.2045454545454545,0.1959654131136377,0.0557620769121492,0.1556195917879894,0.0200823100189997
腓骨远端交界性骨肿瘤的西医治疗方法有哪些。,0.2,0.1913043428775468,0.0305084695809258,0.144927531283344,0.0186499603254841
直肠狭窄的西医治疗方法有哪些。,0.0963855421686747,0.0878048732487807,0.0031847084695702,0.0682926781268296,0.0040022960474734
梗阻性黄疸的西医治疗方法有哪些。,0.037037037037037,0.0250783649071854,0.0,0.0250783649071854,0.0091178827542548
TNM 分期的西医治疗方法有哪些。,0.1339950372208437,0.1303258096057187,0.0135501305066447,0.0952380903074732,0.0037493891512942
输尿管狭窄的西医治疗方法有哪些。,0.1706161137440758,0.163069539543962,0.0230263108000789,0.1582733764744177,0.0115720133870118
结核性膀胱自发破裂的西医治疗方法有哪些。,0.0588235294117647,0.0465116229163038,0.0,0.0398671046438787,0.0097794692264425
结肠脾曲良性肿瘤的西医治疗方法有哪些。,0.016,0.0054054005368926,0.0,0.0054054005368926,0.0029825715762435
不全性并指(趾)的西医治疗方法有哪些。,0.0462046204620462,0.0335570420179278,0.0,0.0335570420179278,0.0129241480345692
足部骨折脱位的西医治疗方法有哪些。,0.0313199105145413,0.0226244298907688,0.0,0.0226244298907688,0.0061288214435583
腕舟骨骨折畸形愈合的西医治疗方法有哪些。,0.0236406619385342,0.0237529641888738,0.0,0.0237529641888738,0.0045268177747367
扁桃体结石的西医治疗方法有哪些。,0.0329670329670329,0.0222841177926935,0.0,0.0222841177926935,0.0072788483780777
肛周皮肤恶性肿瘤的西医治疗方法有哪些。,0.1749271137026239,0.1656804684821961,0.0299785818206336,0.1183431903756873,0.0139474094862848
先天性唾液腺缺失的西医治疗方法有哪些。,0.025,0.0151898686384889,0.0,0.0151898686384889,0.006515156045096
急性出血性乳突炎的西医治疗方法有哪些。,0.0484848484848484,0.0371516977887267,0.0,0.0371516977887267,0.0105228847775294
风湿性肌痛症的西医治疗方法有哪些。,0.0299785867237687,0.0216450173061795,0.0,0.0216450173061795,0.0058157611994296
妊娠合并胃穿孔的西医治疗方法有哪些。,0.0334128878281622,0.0294117598690954,0.0028776928626968,0.0294117598690954,0.008887476899772
急性ST段抬高型心肌梗死的西医治疗方法有哪些。,0.0446927374301675,0.0339943293213178,0.0,0.0339943293213178,0.0036555174114623
黏液炎症性纤维母细胞肉瘤的西医治疗方法有哪些。,0.2135076252723311,0.2070484531925713,0.0278551482033823,0.1453744443819986,0.0141553175027083
精索继发性恶性肿瘤的西医治疗方法有哪些。,0.1132897603485838,0.1132897555811869,0.0058139485147842,0.0784313677816227,0.0045593830825957
带状疱疹后膝状神经炎的西医治疗方法有哪些。,0.0677083333333333,0.05820105324641,0.0072992650772584,0.0476190426643996,0.0111487827144658
缺氧性脑损害的西医治疗方法有哪些。,0.2138728323699421,0.2052785874067131,0.0465116230729077,0.1524926636530475,0.0224900957344723
班氏丝虫病的西医治疗方法有哪些。,0.0262582056892779,0.0176991108909282,0.0,0.0176991108909282,0.0045033278339269
先天性脊柱裂的西医治疗方法有哪些。,0.1739130434782609,0.1652892511992959,0.0171232826902341,0.1487603255794612,0.0170867027322134
视神经炎的西医治疗方法有哪些。,0.3189189189189189,0.3123287623232877,0.0606060558239525,0.2465753376657534,0.0210183364704569
家族性原发性醛固酮增多症Ⅲ型的西医治疗方法有哪些。,0.0744680851063829,0.0643431586182611,0.0,0.0643431586182611,0.0035264138958495
肠结核的西医治疗方法有哪些。,0.0698689956331877,0.0619468981075263,0.0,0.0575221193464644,0.0067215747471079
钝性伤的西医治疗方法有哪些。,0.0294117647058823,0.0212314178803747,0.0,0.0212314178803747,0.0063800376108922
心源性哮喘的西医治疗方法有哪些。,0.0376175548589341,0.0254777021232108,0.0,0.0254777021232108,0.0130052795864334
外阴血管瘤的西医治疗方法有哪些。,0.0682926829268292,0.0592592546348426,0.006711404548222,0.0592592546348426,0.0075805507241463
