disease,f1,rouge1,rouge2,rougeL
下颌下腺脓肿的西医治疗方法有哪些。,0.5503355704697986,0.5460750803955784,0.2252964377489885,0.423208186197626
视网膜寄生虫性囊肿的西医治疗方法有哪些。,0.4983164983164983,0.4931506800666166,0.2071713098744465,0.4246575293816851
低碳酸血症的西医治疗方法有哪些。,0.5429553264604811,0.5384615335593428,0.223968560844678,0.4965034916013009
脑脊液耳漏的西医治疗方法有哪些。,0.4198473282442748,0.4124513570209996,0.150110370366602,0.3501945476824782
先天性乳头内陷的西医治疗方法有哪些。,0.0,0.0,0.0,0.0
胎盘增厚的西医治疗方法有哪些。,0.4838709677419355,0.4773662502057613,0.1891252905317753,0.4197530814814815
腓骨远端交界性骨肿瘤的西医治疗方法有哪些。,0.4838709677419355,0.4786885195915077,0.184782603702216,0.3868852409029831
直肠狭窄的西医治疗方法有哪些。,0.4567474048442906,0.4507042204721285,0.149377588438474,0.3943661923031145
梗阻性黄疸的西医治疗方法有哪些。,0.4556962025316455,0.4501607667046454,0.1984732774780026,0.3987138213670247
TNM 分期的西医治疗方法有哪些。,0.5566343042071198,0.5573770442990594,0.2112436068183732,0.3606557328236496
输尿管狭窄的西医治疗方法有哪些。,0.5016722408026755,0.4965986345677728,0.1952191186266886,0.4421768658602897
结核性膀胱自发破裂的西医治疗方法有哪些。,0.5159010600706714,0.5107913619903214,0.2138364730359647,0.4532374051557891
结肠脾曲良性肿瘤的西医治疗方法有哪些。,0.5962264150943396,0.5923076874926037,0.2995391655901591,0.5153846105695268
不全性并指(趾)的西医治疗方法有哪些。,0.524822695035461,0.5198555908118182,0.2286902237872417,0.4476534247468363
足部骨折脱位的西医治疗方法有哪些。,0.4705882352941176,0.4647887274144515,0.1635220075849673,0.2957746429074093
腕舟骨骨折畸形愈合的西医治疗方法有哪些。,0.4539473684210526,0.448160530415096,0.1923076875351485,0.3210702294117515
扁桃体结石的西医治疗方法有哪些。,0.5318352059925093,0.5267175522810442,0.2075055137725929,0.4427480866321893
肛周皮肤恶性肿瘤的西医治疗方法有哪些。,0.5285714285714286,0.5236363586475373,0.2376237573905304,0.4290909041020826
先天性唾液腺缺失的西医治疗方法有哪些。,0.5069444444444445,0.501766779504801,0.2126789316205604,0.4240282636037409
