disease,f1,rouge1,rouge2,rougeL
下颌下腺脓肿的西医治疗方法有哪些。,0.3770491803278688,0.3711911307758535,0.0816993414386029,0.315789468725992
视网膜寄生虫性囊肿的西医治疗方法有哪些。,0.3027027027027027,0.2958904059823607,0.0535433021188671,0.2301369813248265
低碳酸血症的西医治疗方法有哪些。,0.3146067415730337,0.3076923027176728,0.0420711924751527,0.2393162343416044
脑脊液耳漏的西医治疗方法有哪些。,0.3267605633802816,0.3199999950940408,0.0534223657183791,0.2742857093797551
先天性乳头内陷的西医治疗方法有哪些。,0.3361823361823362,0.3294797639792509,0.0801335511173048,0.2196531743838753
胎盘增厚的西医治疗方法有哪些。,0.2848297213622291,0.2767295548623472,0.0436363587951079,0.2515723221579448
腓骨远端交界性骨肿瘤的西医治疗方法有哪些。,0.3667621776504298,0.3604651113279137,0.0966183525190529,0.3023255764441929
直肠狭窄的西医治疗方法有哪些。,0.3025210084033614,0.2954545404777893,0.0818330556202306,0.2386363586596075
梗阻性黄疸的西医治疗方法有哪些。,0.4071856287425149,0.4012158004815181,0.1325966801501787,0.3161094175027947
TNM 分期的西医治疗方法有哪些。,0.3718309859154929,0.3703703653704109,0.0754716931197907,0.23931623431628
输尿管狭窄的西医治疗方法有哪些。,0.3351955307262569,0.3286118930260254,0.0721311425530774,0.2492917797115779
结核性膀胱自发破裂的西医治疗方法有哪些。,0.3901098901098901,0.384401109284689,0.0952380903796424,0.2841225577526556
结肠脾曲良性肿瘤的西医治疗方法有哪些。,0.4244186046511628,0.4235294068036332,0.1587837789322157,0.3411764656271627
不全性并指(趾)的西医治疗方法有哪些。,0.3559322033898304,0.3495701955987225,0.0870967692609784,0.2464183331345392
足部骨折脱位的西医治疗方法有哪些。,0.3430232558139535,0.3362831809002706,0.0736842057125272,0.277286130752778
腕舟骨骨折畸形愈合的西医治疗方法有哪些。,0.4032697547683924,0.3977900502524343,0.0991253594321671,0.3314917077109978
扁桃体结石的西医治疗方法有哪些。,0.3999999999999999,0.394285709474449,0.092715227026885,0.2914285666173062
肛周皮肤恶性肿瘤的西医治疗方法有哪些。,0.301775147928994,0.2942942893856018,0.0551053435551859,0.2462462413375538
先天性唾液腺缺失的西医治疗方法有哪些。,0.3431635388739947,0.3360433555529117,0.0496688692783216,0.2655826509458656
急性出血性乳突炎的西医治疗方法有哪些。,0.2983425414364641,0.2913165216765923,0.0507614164281485,0.2128851491275727
风湿性肌痛症的西医治疗方法有哪些。,0.3976608187134502,0.3988095188876488,0.0734265686691895,0.3333333284114584
妊娠合并胃穿孔的西医治疗方法有哪些。,0.3537735849056603,0.3484486823747871,0.0823045217501099,0.2768496370287251
急性ST段抬高型心肌梗死的西医治疗方法有哪些。,0.2935323383084577,0.2871536473967857,0.0752532511528629,0.2619647305202114
黏液炎症性纤维母细胞肉瘤的西医治疗方法有哪些。,0.428927680798005,0.4242424192505866,0.0919220005710697,0.3434343384425059
精索继发性恶性肿瘤的西医治疗方法有哪些。,0.3485254691689008,0.3423912993501891,0.0838509266774529,0.2934782558719282
带状疱疹后膝状神经炎的西医治疗方法有哪些。,0.2873239436619718,0.2799999950026123,0.0635451455178357,0.2285714235740409
缺氧性脑损害的西医治疗方法有哪些。,0.3300492610837438,0.3283582039909904,0.075872529170284,0.2487562139412391
班氏丝虫病的西医治疗方法有哪些。,0.3384615384615384,0.3312499951423828,0.0381679340597873,0.2249999951423829
先天性脊柱裂的西医治疗方法有哪些。,0.3529411764705883,0.3471502540782303,0.0606980223316244,0.2279792696222718
视神经炎的西医治疗方法有哪些。,0.3054755043227666,0.2982456091419583,0.0494699598081514,0.2163742641127185
家族性原发性醛固酮增多症Ⅲ型的西医治疗方法有哪些。,0.4066852367688022,0.4011299385341058,0.1087314612745864,0.32768361085049
肠结核的西医治疗方法有哪些。,0.367816091954023,0.3615160300164047,0.0767888258105744,0.3148687996957051
钝性伤的西医治疗方法有哪些。,0.2460732984293193,0.2387267854940231,0.0154559456011711,0.1962864671916359
心源性哮喘的西医治疗方法有哪些。,0.3968668407310705,0.3915343865433499,0.0558139484984801,0.3068783018872652
外阴血管瘤的西医治疗方法有哪些。,0.3413173652694611,0.3343464996158572,0.0666666617602958,0.2735562260596262
尿失禁的西医治疗方法有哪些。,0.4384384384384385,0.4329268242712671,0.1114982528776604,0.3780487754907794
浅表扩散性恶性黑素瘤的西医治疗方法有哪些。,0.3466666666666667,0.3504043076685,0.0866773625772877,0.2911051162938369
鳃瘘的西医治疗方法有哪些。,0.28328611898017,0.2758620641044062,0.0584192391780922,0.2241379261733717
亚急性非化脓性甲状腺炎的西医治疗方法有哪些。,0.3418803418803419,0.3352601106497043,0.0726072557784098,0.2832369892624211
2型糖尿病伴肌病的西医治疗方法有哪些。,0.3155080213903743,0.315217386333294,0.0468018670881355,0.2445652124202506
髌腱断裂的西医治疗方法有哪些。,0.3668341708542713,0.3613231502202021,0.0820367701077728,0.2544529212125686
鼻部表皮样囊肿的西医治疗方法有哪些。,0.3928571428571428,0.3867069436737525,0.0761245625085311,0.3202416868761695
分娩期麻醉并发症的西医治疗方法有哪些。,0.316622691292876,0.3101604228355115,0.0663507059082733,0.2352941126750837
子宫骶骨韧带继发恶性肿瘤的西医治疗方法有哪些。,0.3382352941176471,0.332506198493187,0.080344327858068,0.2580645111482739
狼疮性心肌病的西医治疗方法有哪些。,0.326975476839237,0.3204419839801899,0.0462809867739094,0.2430939176818474
局限性颅内压增高的西医治疗方法有哪些。,0.2816091954022988,0.272463763252426,0.043405671209501,0.2260869516582231
腰椎间盘钙化的西医治疗方法有哪些。,0.418848167539267,0.4137930984865861,0.0930979083737626,0.3289124618818115
隐性代偿性休克的西医治疗方法有哪些。,0.3466042154566744,0.3428571378581633,0.0391061402517484,0.2666666616676871
舌病的西医治疗方法有哪些。,0.3646723646723647,0.3583814978903405,0.0645161240323881,0.300578029682248
先天性脊髓发育不良的西医治疗方法有哪些。,0.3631123919308356,0.3567251412373038,0.0555555506212026,0.2631578897753155
胃肠道毛细血管扩张症的西医治疗方法有哪些。,0.3060109289617486,0.2991689700803401,0.0715447104715979,0.2603878066454371
子宫韧带炎的西医治疗方法有哪些。,0.3259668508287293,0.319327726158385,0.0903225757413634,0.2633053171947995
颈部脊髓完全损伤的西医治疗方法有哪些。,0.3428571428571428,0.3368421003031856,0.0484652616141,0.2684210476716067
贝克肌营养不良的西医治疗方法有哪些。,0.3277777777777777,0.3202247141997539,0.0440677917214024,0.2303370737503157
妊娠合并癫痫的西医治疗方法有哪些。,0.3072289156626506,0.2996941846081044,0.0491803228948674,0.2507645209995418
胃动脉损伤的西医治疗方法有哪些。,0.3575418994413408,0.3512747827376835,0.0400667732482356,0.2662889470436325
药物性中性粒细胞减少症的西医治疗方法有哪些。,0.2926829268292683,0.2857142808086282,0.0619902071388543,0.2637362588306063
纯睾丸支持细胞综合征的西医治疗方法有哪些。,0.3582089552238806,0.3526448312888224,0.0822320067692629,0.2770780806590995
趾短伸肌腱腱损伤的西医治疗方法有哪些。,0.4137931034482758,0.4086021455701526,0.1052631529438126,0.3763440810540236
母源性先天性肾上腺发育不全的西医治疗方法有哪些。,0.3789473684210526,0.3733333283461689,0.0671755675302841,0.2986666616795023
唇和口腔浅表损伤的西医治疗方法有哪些。,0.3631436314363144,0.3561643785977106,0.0772946810672105,0.2739725977757929
急性前间壁高侧壁再发心肌梗死的西医治疗方法有哪些。,0.3317757009345794,0.3262411297640963,0.0808080758208349,0.2553191439484936
海绵窦炎的西医治疗方法有哪些。,0.3361823361823362,0.3294797639792509,0.0608228932664709,0.2543352553087307
面部蜂窝织炎的西医治疗方法有哪些。,0.3589743589743589,0.3526011512404358,0.064748196634556,0.2601156021074878
损伤性食管穿孔的西医治疗方法有哪些。,0.3307086614173228,0.3244680801267542,0.0720720671049431,0.2553191439565415
格雷夫斯病继发青光眼的西医治疗方法有哪些。,0.3465909090909091,0.3400576319225308,0.1099656307955742,0.2824207443144616
家族性多发性纤维毛囊瘤的西医治疗方法有哪些。,0.3298969072164949,0.3281249950916884,0.0861812728890402,0.2187499950916885
嵌甲的西医治疗方法有哪些。,0.3834196891191709,0.3779527509634131,0.0797545963265462,0.2992125934830981
低钠血症的西医治疗方法有哪些。,0.2849162011173184,0.2768361532023046,0.0546623744225146,0.1977401080045646
急性下壁高侧壁正后壁心肌梗死的西医治疗方法有哪些。,0.3282051282051282,0.3220779170900996,0.0815046972102773,0.254545449557632
皮埃尔-罗宾综合征的西医治疗方法有哪些。,0.3978779840848807,0.3924731134096428,0.0955413963811921,0.3010752639472772
慢性咽炎的西医治疗方法有哪些。,0.3651685393258427,0.358974353999724,0.0690846236863633,0.2678062628316329
外阴硬化性苔癣合并鳞状上皮增生的西医治疗方法有哪些。,0.3712871287128713,0.3649999950020001,0.0713224318579736,0.309999995002
女性盆腔脓肿的西医治疗方法有哪些。,0.3662790697674419,0.3598820010219194,0.0749574057345846,0.283185835830179
脊髓继发恶性肿瘤的西医治疗方法有哪些。,0.3779527559055118,0.3723404205370077,0.0710973674898536,0.3085106333029652
脂蛋白缺乏的西医治疗方法有哪些。,0.3575129533678756,0.3517060317531569,0.0820668643127376,0.257217842776779
埃可病毒疹的西医治疗方法有哪些。,0.3901098901098901,0.3844011093234845,0.0774193499394384,0.2952646190727881
眼结核的西医治疗方法有哪些。,0.3575129533678756,0.351706031751228,0.0942562542212083,0.272965874270913
结核性乳突炎的西医治疗方法有哪些。,0.3361823361823362,0.3294797638598015,0.0652920913191864,0.2312138679060444
带状疱疹性脑膜脑炎的西医治疗方法有哪些。,0.3448275862068965,0.3387096724563533,0.0990098960269148,0.2903225756821598
女性生殖器官交界性肿瘤的西医治疗方法有哪些。,0.3241758241758241,0.3175487415656303,0.0484652616323691,0.2228412206742655
颌面部淋巴瘤的西医治疗方法有哪些。,0.3246376811594202,0.3176470538574394,0.0419354789117591,0.2470588185633219
严重亚急性乙型肝炎的西医治疗方法有哪些。,0.2888283378746594,0.2825484715878485,0.0696864062896845,0.2326869757429732
全肺恶性肿瘤的西医治疗方法有哪些。,0.3037249283667622,0.2965116229355395,0.0552147189416241,0.2209302275867024
肠道蛔虫的西医治疗方法有哪些。,0.262108262108262,0.2543352551216212,0.047358829274754,0.1907514400927196
视网膜色素变性(原发性)的西医治疗方法有哪些。,0.42,0.4151898684192918,0.1149773021164926,0.3746835393053677
皮肤隐球菌病的西医治疗方法有哪些。,0.3154761904761904,0.3072289106691828,0.0547945155763281,0.2168674648860503
输卵管间质部妊娠流产的西医治疗方法有哪些。,0.3676470588235294,0.3622828734188377,0.0896358493417369,0.2878411860739245
髋关节软骨损伤的西医治疗方法有哪些。,0.395778364116095,0.3903743266138579,0.120743029140268,0.2780748613732163
甲营养不良的西医治疗方法有哪些。,0.3492957746478873,0.3428571378989388,0.0561983421429688,0.2457142807560817
非霍奇金淋巴瘤的西医治疗方法有哪些。,0.2906976744186046,0.283185835755345,0.082644623143556,0.235988195637351
颌骨骨移植后组织瓣坏死的西医治疗方法有哪些。,0.3548387096774193,0.3487738370022794,0.092449917994307,0.2997275154763938
头部浅表损伤后遗症的西医治疗方法有哪些。,0.336283185840708,0.3293413123668831,0.045454540454546,0.2814371207501166
上颌窦内异物的西医治疗方法有哪些。,0.3399433427762039,0.3333333283533162,0.0652528498954414,0.2758620639855001
平坦部睫状体炎的西医治疗方法有哪些。,0.4154302670623145,0.4096385492576935,0.0812720798911214,0.3192771034745609
咽旁间隙感染的西医治疗方法有哪些。,0.3440233236151603,0.3372781018176885,0.0589318554548263,0.2958579834744932
胎盘早剥伴出血的西医治疗方法有哪些。,0.2762148337595907,0.2694300468907891,0.0415335414534705,0.2227979225384575
病毒性肝炎甲型急性黄疸型的西医治疗方法有哪些。,0.3438256658595641,0.3382352891206507,0.0513595116240272,0.2549019557873174
肋间血管损伤的西医治疗方法有哪些。,0.3152173913043478,0.3085399399500642,0.0572336993526964,0.1983471024844995
下运动神经元综合征的西医治疗方法有哪些。,0.2714681440443214,0.2640449388216451,0.051863852374721,0.1910112309564766
下肢深静脉栓塞的西医治疗方法有哪些。,0.3577712609970674,0.3511904711968537,0.0960264851453886,0.2738095188159014
单神经炎的西医治疗方法有哪些。,0.3409090909090909,0.334293943148768,0.0698835225024297,0.3054754993447334
颌间挛缩的西医治疗方法有哪些。,0.4207492795389049,0.4152046733871961,0.1098169667653192,0.3216374219252078
硼酸中毒的西医治疗方法有哪些。,0.3736842105263158,0.3679999950597689,0.0967741886275236,0.2826666617264356
肱骨远端交界性骨肿瘤的西医治疗方法有哪些。,0.3050847457627118,0.29799426436269,0.0558292232595365,0.2521489921563863
下肢静脉功能不全的西医治疗方法有哪些。,0.2613636363636363,0.2536023005672334,0.0481927661964509,0.2017291017199712
环状视网膜炎的西医治疗方法有哪些。,0.3180428134556575,0.3105590012808148,0.0336448549166571,0.2546583801628024
肝腹水的西医治疗方法有哪些。,0.2965116279069767,0.2890855408188234,0.050089440601509,0.2477876057155786
青少年型青光眼的西医治疗方法有哪些。,0.3603133159268929,0.3544973495063128,0.1007873965751134,0.248677243686207
小肠交界性肿瘤的西医治疗方法有哪些。,0.3640897755610972,0.3585858536145547,0.10480348846937,0.2727272677559688
低顺应性膀胱的西医治疗方法有哪些。,0.365979381443299,0.3603133109310173,0.1171171121301484,0.2715404649780147
亚急性外阴炎的西医治疗方法有哪些。,0.3876404494382022,0.3817663767810327,0.0955631349574255,0.3133903084049643
非真性血管瘤，血管畸形的西医治疗方法有哪些。,0.3463687150837989,0.3399433377852323,0.0760697255891966,0.3059490035076119
低血容量性休克的西医治疗方法有哪些。,0.432,0.4270270221183345,0.076555019091647,0.3297297248210373
甲状旁腺功能减退的西医治疗方法有哪些。,0.3371428571428571,0.3313953438860533,0.0892561934159691,0.2965116229558207
胁腹开放性损伤的西医治疗方法有哪些。,0.3943661971830985,0.3885714236994286,0.061643830787437,0.3257142808422857
颌骨动脉瘤性囊肿的西医治疗方法有哪些。,0.3208020050125313,0.3147208072766627,0.0665658044374158,0.2690355280888454
无指征剖宫产的单胎分娩的西医治疗方法有哪些。,0.340632603406326,0.3349753644640734,0.0455153899132098,0.241379305350773
盘状红斑狼疮的西医治疗方法有哪些。,0.3636363636363636,0.3622047194122389,0.0916271671980017,0.2887139057639449
副神经损伤的西医治疗方法有哪些。,0.3304843304843305,0.3236994170871062,0.0637583843518313,0.2196531743125398
外阴疱疹的西医治疗方法有哪些。,0.4285714285714286,0.4229607200810507,0.1076388839468197,0.3504531672109601
双侧腹股沟直疝的西医治疗方法有哪些。,0.4207650273224043,0.4155124604323171,0.1388012569216533,0.3490304659724834
弓形虫脉络膜视网膜炎的西医治疗方法有哪些。,0.3238095238095238,0.3161290273681582,0.0295748566097567,0.258064511239126
角膜穿通伤伴虹膜脱垂的西医治疗方法有哪些。,0.3262839879154079,0.3190184000255938,0.065180098043185,0.2822085840746735
风湿性肺动脉瓣狭窄(中度)的西医治疗方法有哪些。,0.3555555555555555,0.3492957696768102,0.1006493457033228,0.2760563330570919
舌下神经疾病的西医治疗方法有哪些。,0.3817663817663818,0.3757225383901901,0.0676818901535443,0.3005780297196699
锤状趾的西医治疗方法有哪些。,0.3806818181818181,0.3746397645156093,0.0795847702742427,0.2824207443426987
肘和腕关节创伤性切断的西医治疗方法有哪些。,0.3174603174603175,0.3109919521537566,0.0635400857947321,0.2466487886148827
末端骶骨脊膜膨出的西医治疗方法有哪些。,0.2666666666666666,0.2591549246508233,0.0328947319046492,0.2422535162001191
腰部开放性损伤伴骨折的西医治疗方法有哪些。,0.3185378590078329,0.3121693071929677,0.0501567349251191,0.243386238409899
淋巴细胞脉络丛脑膜炎的西医治疗方法有哪些。,0.3068493150684931,0.2999999950055556,0.0596026440158878,0.2388888838944445
椎管内脓肿的西医治疗方法有哪些。,0.3688760806916427,0.3625730946246708,0.0376647786786121,0.2690058431626826
头皮撕脱伤的西医治疗方法有哪些。,0.3383838383838384,0.332480813486568,0.0490620441237779,0.2557544707755707
皮肌炎性周围神经病的西医治疗方法有哪些。,0.3206521739130434,0.314917122081591,0.0618237971665209,0.2541436414186075
颈椎关节炎的西医治疗方法有哪些。,0.4398826979472141,0.4345238046175241,0.1387900307270679,0.3630952331889527
T7T12水平闭合性骨折伴其他特指的脊髓损伤的西医治疗方法有哪些。,0.3443396226415093,0.343675412665911,0.0663900364972293,0.2863961763890614
甲虫皮炎的西医治疗方法有哪些。,0.362116991643454,0.355932198395576,0.0655172364259218,0.3163841757967059
颌面部间隙感染的西医治疗方法有哪些。,0.304812834224599,0.2981029760915387,0.0612244848551533,0.2655826508882866
手指开放性伤口不伴有指甲损害的西医治疗方法有哪些。,0.3935309973045822,0.3879781370980024,0.0940438822008434,0.3005464431089313
硬化型骨髓炎的西医治疗方法有哪些。,0.4055555555555556,0.3999999950876414,0.0795847702131802,0.3323943612848245
病毒性小肠炎的西医治疗方法有哪些。,0.3769633507853403,0.3703703654157219,0.0792079158626608,0.3227513177966742
先天性胆道闭锁的西医治疗方法有哪些。,0.4021447721179625,0.3967391254880967,0.1028938857422382,0.2934782559228793
后纵韧带骨化的西医治疗方法有哪些。,0.3859649122807018,0.3798219536207944,0.1067615611291019,0.2848664640065511
结膜疾患的西医治疗方法有哪些。,0.3525835866261398,0.3456790074074075,0.0514705832742219,0.2839506123456791
继发性心肌病的西医治疗方法有哪些。,0.3045977011494252,0.2973760883210228,0.0664335615001348,0.2623906655804979
结核性肾盂炎的西医治疗方法有哪些。,0.3607427055702917,0.3548387046826223,0.099688468534273,0.2419354788761707
太田痣的西医治疗方法有哪些。,0.3611111111111111,0.354929572576235,0.0405405356666025,0.2760563331396152
Kikuchi坏死性组织细胞淋巴结炎的西医治疗方法有哪些。,0.375366568914956,0.3738872354040275,0.046181167357944,0.3086053362942353
肿瘤引起的脑积水的西医治疗方法有哪些。,0.3651226158038147,0.3591160171008211,0.058371730791386,0.2872928126809316
皮层性聋的西医治疗方法有哪些。,0.3464566929133858,0.3404255269557775,0.042139379198664,0.2872340375940754
硬脊膜动静脉瘘的西医治疗方法有哪些。,0.3573200992555831,0.3517587889824752,0.0699708405245692,0.2412060251633798
免疫缺陷的西医治疗方法有哪些。,0.3324099722991689,0.3258426916601439,0.0955518896106655,0.2640449388511552
妊娠合并风湿病的西医治疗方法有哪些。,0.3378746594005449,0.331491707707335,0.087804873048794,0.2928176745581637
齿龈继发恶性肿瘤的西医治疗方法有哪些。,0.3155080213903743,0.3089430844441508,0.0671755675368105,0.2601625966392727
角膜知觉减退的西医治疗方法有哪些。,0.3564954682779456,0.3496932466167338,0.0501792065828424,0.2883435533652001
拇指掌指关节侧副韧带损伤的西医治疗方法有哪些。,0.3988919667590028,0.3932584220118987,0.0967741886158171,0.3595505568433594
毛发真菌病的西医治疗方法有哪些。,0.3547400611620794,0.3478260820770804,0.0641711181698079,0.2360248398410556
淹溺的西医治疗方法有哪些。,0.288,0.2810810763512053,0.044728429727108,0.2432432385133675
肥大细胞增生病的西医治疗方法有哪些。,0.294478527607362,0.2866043563816346,0.0595446535306913,0.2305295900264944
莱姆病的西医治疗方法有哪些。,0.2831858407079646,0.2754490967965866,0.0279232061727118,0.2395209530840117
肺芽生菌病的西医治疗方法有哪些。,0.3244837758112094,0.3164179054756071,0.0752136702873259,0.262686562192025
先天性正中唇裂的西医治疗方法有哪些。,0.3645569620253165,0.3589743540380013,0.0849772333045197,0.3025640976277449
甲板染色的西医治疗方法有哪些。,0.2942942942942943,0.2865853609436348,0.0565370975296861,0.2439024341143665
海绵窦及相关综合征(多条眼球运动神经麻痹)的西医治疗方法有哪些。,0.2905027932960893,0.2832861141015497,0.0311418636280104,0.2266288903055157
唇外翻的西医治疗方法有哪些。,0.3128491620111732,0.3059490035236621,0.0531561411902191,0.2549575021072315
汗腺腺癌的西医治疗方法有哪些。,0.3829787234042552,0.3773584856271024,0.0843373444384166,0.3288409654114689
眼睑细胞组织增生症的西医治疗方法有哪些。,0.3544303797468354,0.3472668761336215,0.0553505486967774,0.2958199307960009
玻璃体淀粉样变性的西医治疗方法有哪些。,0.371951219512195,0.3653250724649906,0.0751341633545722,0.3157894687498203
转化型原始细胞增多性难治性贫血的西医治疗方法有哪些。,0.4221105527638191,0.4173027939876594,0.1272727222844814,0.3155216235041989
游离体的西医治疗方法有哪些。,0.4403183023872679,0.4354838660047404,0.1390532494826863,0.3225806401982888
布里凯综合征的西医治疗方法有哪些。,0.3626943005181348,0.3569553756411157,0.1041009414729972,0.2887139058248428
先天性贝壳耳畸形的西医治疗方法有哪些。,0.3396226415094339,0.3333333283930544,0.0638977586182878,0.3005464431471528
瞳孔功能异常的西医治疗方法有哪些。,0.329192546583851,0.3217665566061957,0.0758122694777727,0.2397476291614008
脓细胞的西医治疗方法有哪些。,0.2735042735042735,0.2658959489984631,0.0390763717150894,0.2254335212527983
中位阻生异位埋伏牙的西医治疗方法有哪些。,0.3564356435643565,0.3508771879877639,0.0540540490670855,0.2857142807195935
净齿剂牙磨损的西医治疗方法有哪些。,0.346938775510204,0.3410852663181299,0.0519083919466702,0.2273901758788535
腹内疝的西医治疗方法有哪些。,0.2942779291553133,0.2872928127406062,0.0555555506699154,0.243093917712982
焦虑症的西医治疗方法有哪些。,0.4041994750656167,0.3989361652489814,0.1249999950662766,0.3244680801425985
鼻咽纤维瘤的西医治疗方法有哪些。,0.3045977011494253,0.2973760885086997,0.0621931212670065,0.2507288581879999
呼吸道合胞病毒肺炎的西医治疗方法有哪些。,0.3723404255319149,0.3665768144515079,0.0980392107850081,0.2803234451792707
结节性淋巴细胞为主型的霍奇金淋巴瘤的西医治疗方法有哪些。,0.3664921465968587,0.3650793600862238,0.0866965570328963,0.2857142807211444
胫腓远端关节脱位的西医治疗方法有哪些。,0.3902439024390243,0.3839009238984367,0.0719178034445959,0.3219814192544739
急性甲状腺炎的西医治疗方法有哪些。,0.371951219512195,0.3653250725443548,0.0907372352726014,0.3095975183647883
下颌下腺良性肿瘤的西医治疗方法有哪些。,0.3093333333333333,0.3027026977671294,0.0861538412151955,0.2594594545238861
家族性帕金森综合征伴周围神经病的西医治疗方法有哪些。,0.36,0.3544303747540459,0.1141975258680557,0.2784810076654382
外阴瘙痒的西医治疗方法有哪些。,0.4,0.3943661921863123,0.0735785903244933,0.3154929527496926
安乃近中毒的西医治疗方法有哪些。,0.3163841807909605,0.3103448226590369,0.0573355769052667,0.2471264318544392
面瘫、耳痛及外耳道疱疹三联征的西医治疗方法有哪些。,0.3277777777777778,0.3211267555700853,0.0836120351373589,0.2929577414855783
过度惊吓反应症的西医治疗方法有哪些。,0.3862433862433863,0.3806970459645366,0.1080196349549049,0.3002680915409441
瘢痕的西医治疗方法有哪些。,0.3034055727554179,0.2955974793052095,0.046678630699213,0.2452830138964045
偏身感觉异常的西医治疗方法有哪些。,0.300578034682081,0.2932551269669164,0.0913705533788557,0.2404692032132507
耳结缔组织肿瘤的西医治疗方法有哪些。,0.3367875647668393,0.330708656454833,0.0706921894363411,0.236220467478455
后天性肱骨变形的西医治疗方法有哪些。,0.4095744680851064,0.4043126634828285,0.0729001535165928,0.3234501297901062
髋关节周围骨化的西医治疗方法有哪些。,0.347107438016529,0.3407821179064324,0.0885245851794681,0.2569832352248682
生殖道异物的西医治疗方法有哪些。,0.3391812865497076,0.3323442087555583,0.0841750793283567,0.2551928734439856
胃肠炎的西医治疗方法有哪些。,0.2841530054644808,0.2770083052579401,0.0616883066891554,0.2216066432080786
腕和手血管损伤的西医治疗方法有哪些。,0.2717391304347826,0.2644628049750701,0.0418679499535584,0.2093663862422878
分娩合并循环系统疾病的西医治疗方法有哪些。,0.3519553072625698,0.3456090602049612,0.0701168564614929,0.3286118930661509
翼钩过长的西医治疗方法有哪些。,0.3314917127071823,0.3249299670217891,0.0544871745653049,0.2577030762654867
刺激性接触性皮炎的西医治疗方法有哪些。,0.3457446808510638,0.3396226366193213,0.0723684161435793,0.2749326096651434
胃扭转的西医治疗方法有哪些。,0.3209169054441261,0.313953483420937,0.0713127989355093,0.244186041560472
哈钦森三征的西医治疗方法有哪些。,0.2803738317757009,0.2742316735104986,0.048452215739183,0.1843971581440684
妊娠合并水痘的西医治疗方法有哪些。,0.3036649214659686,0.297082223138698,0.06462035043838,0.2493368650485123
子宫颈钙化的西医治疗方法有哪些。,0.3286118980169971,0.3218390755892457,0.0675241109235846,0.2701149376582111
神经肌肉性髋脱位的西医治疗方法有哪些。,0.3535911602209944,0.3473389305774074,0.0651162740750679,0.2689075580283879
骨髓炎的西医治疗方法有哪些。,0.3275862068965517,0.3206997034735527,0.0384615335498074,0.2215743390420659
先天性唇瘘的西医治疗方法有哪些。,0.3435897435897436,0.33766233266507,0.0705218567773999,0.2649350599377973
毛细胞白血病的西医治疗方法有哪些。,0.308108108108108,0.3013698580167386,0.0813008080151235,0.2356164333592044
鼻恶性黑色素瘤的西医治疗方法有哪些。,0.3529411764705882,0.3471502540721899,0.0747126386791934,0.274611393968563
间质性肺气肿的西医治疗方法有哪些。,0.2857142857142857,0.2788203703791446,0.053968249079567,0.2144772068402706
疣的西医治疗方法有哪些。,0.39375,0.3873015823782313,0.0890537984820377,0.3238095188861678
胫骨侧黏液囊炎的西医治疗方法有哪些。,0.4486486486486486,0.4438356115014449,0.1347150209777445,0.3452054745151436
妊娠期乳腺脓肿的西医治疗方法有哪些。,0.2952646239554317,0.2881355882217754,0.0330578462427437,0.2203389780522839
小腿瘢痕的西医治疗方法有哪些。,0.3833865814696485,0.376623371800683,0.0783582042142601,0.2922077873850987
线状苔藓的西医治疗方法有哪些。,0.2429378531073446,0.2342857092989388,0.0351493798913403,0.1999999950132246
2型糖尿病单神经病变的西医治疗方法有哪些。,0.374331550802139,0.3685636806530505,0.1127694809655428,0.3143631386476304
慢性乙型肝炎的西医治疗方法有哪些。,0.4257703081232493,0.4204545404908639,0.1565495158747666,0.3181818132181366
妊娠期化脓性乳腺炎的西医治疗方法有哪些。,0.3612565445026178,0.3554376608602044,0.048231506349604,0.2652519844676315
舌下腺炎的西医治疗方法有哪些。,0.2987012987012987,0.2904290380459433,0.0350877144844574,0.2112211172538641
淋球菌性脑膜炎的西医治疗方法有哪些。,0.3603603603603603,0.3525835817658743,0.0521415221100747,0.2613981714315279
纤维组织细胞性脂肪瘤的西医治疗方法有哪些。,0.3780821917808218,0.3722222173265432,0.0787401526222831,0.3222222173265432
色素杆菌病的西医治疗方法有哪些。,0.4054054054054054,0.3999999950000376,0.090909085928745,0.2904109539041472
发汗试验的西医治疗方法有哪些。,0.2618384401114206,0.2542372831817167,0.0295081917665152,0.1807909554981009
腰椎退行性病变的西医治疗方法有哪些。,0.3646112600536192,0.3586956472028592,0.1174496594871854,0.3043478211159027
三期女阴梅毒的西医治疗方法有哪些。,0.3298429319371728,0.3236074220636183,0.0718749950059085,0.2387267854588438
低血容量性休克的西医治疗方法有哪些。,0.3901234567901234,0.3890274264217262,0.0784883670931925,0.3441396458730978
胫前综合征的西医治疗方法有哪些。,0.3255813953488372,0.3193717228035142,0.0679012296731161,0.2356020892956608
