disease,scheme_name,content_weight,consistency_weight,alignment_weight,selected_path,score_A,score_B,score_C,decision_time,dynamic_route,course,nature,severity,focus
高血压,balanced,0.4,0.3,0.3,C,0.82,2.92,4.51,0.3711588382720947,C,慢性,虚实夹杂,中等,两者兼有
高血压,content_focused,0.6,0.2,0.2,C,1.13,3.86,5.76,0.3202791213989258,C,慢性,虚实夹杂,中等,两者兼有
高血压,alignment_focused,0.2,0.2,0.6,C,0.59,2.39,3.67,0.31900501251220703,C,慢性,虚实夹杂,中等,两者兼有
高血压,consistency_focused,0.2,0.6,0.2,C,0.43,1.56,2.86,0.3187565803527832,C,慢性,虚实夹杂,中等,两者兼有
糖尿病,balanced,0.4,0.3,0.3,C,3.56,3.73,4.43,0.32026147842407227,C,慢性,虚实夹杂,中等,两者兼有
糖尿病,content_focused,0.6,0.2,0.2,C,4.79,5.07,5.62,0.31766390800476074,C,慢性,虚实夹杂,中等,两者兼有
糖尿病,alignment_focused,0.2,0.2,0.6,C,2.76,2.81,3.66,0.3180367946624756,C,慢性,虚实夹杂,中等,两者兼有
糖尿病,consistency_focused,0.2,0.6,0.2,C,1.89,1.97,2.82,0.4597964286804199,C,慢性,虚实夹杂,中等,两者兼有
慢性胃炎,balanced,0.4,0.3,0.3,C,1.0,2.13,4.52,0.3057079315185547,C,慢性,虚实夹杂,中等,两者兼有
慢性胃炎,content_focused,0.6,0.2,0.2,C,1.25,2.92,5.76,0.23908615112304688,C,慢性,虚实夹杂,中等,两者兼有
慢性胃炎,alignment_focused,0.2,0.2,0.6,C,0.95,1.55,3.69,0.2344658374786377,C,慢性,虚实夹杂,中等,两者兼有
慢性胃炎,consistency_focused,0.2,0.6,0.2,C,0.55,1.12,2.86,0.25279736518859863,C,慢性,虚实夹杂,中等,两者兼有
痛风,balanced,0.4,0.3,0.3,B,3.63,3.71,3.45,4.299164295196533,B,慢性,虚证,轻症,功能失调为主
痛风,content_focused,0.6,0.2,0.2,A,4.92,4.56,4.63,2.927046775817871,B,慢性,虚证,轻症,功能失调为主
痛风,alignment_focused,0.2,0.2,0.6,B,2.76,3.27,2.7,3.110424280166626,B,慢性,虚证,轻症,功能失调为主
痛风,consistency_focused,0.2,0.6,0.2,B,1.92,2.46,1.83,2.9334371089935303,B,慢性,虚证,轻症,功能失调为主
过敏性鼻炎,balanced,0.4,0.3,0.3,B,0.62,2.51,2.37,0.5750348567962646,C,慢性,虚实夹杂,中等,两者兼有
过敏性鼻炎,content_focused,0.6,0.2,0.2,B,0.83,3.26,2.58,0.55558180809021,C,慢性,虚实夹杂,中等,两者兼有
过敏性鼻炎,alignment_focused,0.2,0.2,0.6,C,0.49,2.17,2.54,0.5500612258911133,C,慢性,虚实夹杂,中等,两者兼有
过敏性鼻炎,consistency_focused,0.2,0.6,0.2,C,0.33,1.36,1.78,0.5466141700744629,C,慢性,虚实夹杂,中等,两者兼有
